City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Aswan,EG,24.0934,32.907,59.47,48,0,10.0,clear sky
328,Livingstone,ZM,-17.8419,25.8543,71.96,71,6,5.26,clear sky
329,Yerbogachen,RU,61.2767,108.0108,7.99,79,99,4.12,overcast clouds
330,Palembang,ID,-2.9167,104.7458,89.69,62,75,11.5,broken clouds
331,Kenai,US,60.5544,-151.2583,30.15,89,99,0.74,overcast clouds
332,Teluknaga,ID,-6.0989,106.6381,87.73,59,76,13.89,broken clouds
333,Alice Town,BS,25.7167,-79.3,75.47,79,97,14.88,overcast clouds
334,Arcata,US,40.8665,-124.0828,48.85,83,100,7.29,overcast clouds
335,Pedernales,DO,18.0384,-71.744,74.77,70,2,4.52,clear sky
336,Kieta,PG,-6.2167,155.6333,79.32,89,87,9.26,moderate rain
337,Mikhaylovka,RU,50.06,43.2379,33.06,99,100,12.53,overcast clouds
338,Shakhta,RU,59.0927,57.653,26.85,95,100,4.21,overcast clouds
339,Torbay,CA,47.6666,-52.7314,15.28,77,83,4.0,broken clouds
340,Padang,ID,-0.9492,100.3543,86.59,64,67,7.61,broken clouds
341,Zhangye,CN,38.9342,100.4517,39.85,23,100,15.52,overcast clouds
342,Dagda,LV,56.0951,27.5372,20.53,96,67,4.76,broken clouds
343,Armidale,AU,-30.5167,151.65,63.75,82,100,12.33,light rain
344,Valparaiso,CL,-33.0393,-71.6273,61.68,76,0,15.43,clear sky
